URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://hl7.org/fhir/ValueSet/procedure-outcome,4.0.1,draft,"2.16.840.1.113883.4.642.3.428",ProcedureOutcomeCodes(SNOMEDCT),Procedure Outcome Codes (SNOMED CT),"Procedure Outcome code: A selection of relevant SNOMED CT codes.","StructureDefinition/onconova-surgical-procedure","SCT"
http://hl7.org/fhir/ValueSet/units-of-time,4.0.1,active,"2.16.840.1.113883.4.642.3.77",UnitsOfTime,UnitsOfTime,"A unit of time (units from UCUM).","StructureDefinition/onconova-lifestyle","UCUM"
http://hl7.org/fhir/us/mcode/ValueSet/mcode-tnm-distant-metastases-category-vs,4.0.0,active,"2.16.840.1.113883.4.642.40.15.48.75",TNMDistantMetastasesCategoryVS,TNM Distant Metastases Category Value Set,"Result values for AJCC M category. This value set contains SNOMED-CT equivalents of AJCC codes for the M category, according to TNM staging rules.","ValueSet/onconova-vs-tnm-distant-metastasis-categories","SCT"
http://hl7.org/fhir/us/mcode/ValueSet/mcode-tnm-primary-tumor-category-vs,4.0.0,active,"2.16.840.1.113883.4.642.40.15.48.79",TNMPrimaryTumorCategoryVS,TNM Primary Tumor Category Value Set,"Result values for T category, following AJCC staging guidelines. This value set contains SNOMED-CT equivalents of AJCC codes for the T category, according to AJCC TNM staging rules.","ValueSet/onconova-vs-tnm-primary-tumor-categories","SCT"
http://hl7.org/fhir/us/mcode/ValueSet/mcode-tnm-regional-nodes-category-vs,4.0.0,active,"2.16.840.1.113883.4.642.40.15.48.83",TNMRegionalNodesCategoryVS,TNM Regional Nodes Category Value Set,"Result values for AJCC N category. This value set contains SNOMED-CT equivalents of AJCC codes for the N category, according to AJCC TNM staging rules.","ValueSet/onconova-vs-tnm-regional-nodes-categories","SCT"
http://hl7.org/fhir/uv/genomics-reporting/ValueSet/high-low-codes-vs,2.0.0,active,,HighLowCodesVS,High Low codes,"This value set includes high/low codes for Observation Interpretations","ValueSet/onconova-vs-tumor-mutational-burden-status-interpretations","THO (V3)"
http://loinc.org/vs/LL2179-1,null,active,,LOINCAnswersLL2179-1,LOINC Answer Codes for LL2179-1,"","StructureDefinition/onconova-lifestyle","LOINC"
http://onconova.github.io/fhir/ValueSet/onconova-tnm-lymphatic-invasion-categories,0.2.0,active,,TNMLymphaticInvasionCategories,TNM Lymphatic Invasion Categories Value Set,"TNM Lymphatic Invasion Categories Value Set","StructureDefinition/onconova-tnm-lymphatic-invasion-category","SCT"
http://onconova.github.io/fhir/ValueSet/onconova-tnm-perineural-invasion-categories,0.2.0,active,,TNMPerineuralInvasionCategories,TNM Perineural Invasion Categories Value Set,"TNM Perineural Invasion Categories Value Set","StructureDefinition/onconova-tnm-perineural-invasion-category","SCT"
http://onconova.github.io/fhir/ValueSet/onconova-tnm-residual-tumor-categories,0.2.0,active,,TNMResidualTumorCategories,TNM Residual Tumor Categories Value Set,"TNM Residual Tumor Categories Value Set","StructureDefinition/onconova-tnm-residual-tumor-category","SCT"
